#,Item No.,Item Description,Base Price List,Factor,Primary Currency - Base Price (currency),Primary Currency - Base Price,Primary Currency - Price (currency),Primary Currency - Price,Primary Currency - Manual,Inventory UoM,Pricing Unit,Final Price,INR,USD,EURO
132,203803T97,SPO2 Extension Cable -GE B20,Purchase Price List,1,INR,650,INR,650,N,Manual,Manual,650,1,85.56,92.52
133,203803T98,Disposable Massimo spo2 sensor,Purchase Price List,1,USD,2.5,USD,2.5,N,Manual,Manual,213.9,1,85.56,92.52
134,203803T9A,SPO2 PULSE OXIMETER NEONATAL WRAP CABLE - 1M,Purchase Price List,1,INR,1700,INR,1700,N,Manual,Manual,1700,1,85.56,92.52
135,203803T9B,SPO2 PULSE OXIMETER  ADULT FINGER SENSOR CABLE-1M,Purchase Price List,1,INR,1550,INR,1550,N,Manual,Manual,1550,1,85.56,92.52
136,203803T9C,SPO2 Extension Cable-Masimo-Jack TYpe,Purchase Price List,1,USD,40,USD,40,N,Manual,Manual,3422.4,1,85.56,92.52
137,203803T9D,SPO2 Pediatric clip Probe 3.0m-Masimo(Reu),Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
138,203803T9E,M-LNCS -Y -Sensor(Reusable)-Masimo,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
139,203803T9F,SpO2 Neonatal Wrap 3.0M- Masimo Long Chip,Purchase Price List,1,INR,3500,INR,3500,N,Manual,Manual,3500,1,85.56,92.52
140,203803T9G,Nellcor -Oximax Y Probe-0.9mtr-(China),Purchase Price List,1,INR,508.68,INR,508.68,N,Manual,Manual,508.68,1,85.56,92.52
141,203803T9I,REU.DURA SENSOR ADULT-COV-DS100A,Purchase Price List,1,INR,3200,INR,3200,N,Manual,Manual,3200,1,85.56,92.52
142,203803T9J,LNOP-MASIMO EXTENSION CABLE,Purchase Price List,1,INR,950,INR,950,N,Manual,Manual,950,1,85.56,92.52
143,203803T9K,LNOP-NEONATAL CABLE,Purchase Price List,1,,,,,N,Manual,Manual,0,1,85.56,92.52
144,203804T02,ACOUSTIC MEMBRANE(LENS),Purchase Price List,1,INR,500,INR,500,N,Manual,Manual,500,1,85.56,92.52
145,203804T03,DOME FOR 4D PROBE FOR RAB2-5,Purchase Price List,1,INR,750,INR,750,N,Manual,Manual,750,1,85.56,92.52
146,203804T04,ULTRASOUND PROBE-PHILIPS L12-4,Purchase Price List,1,INR,167500,INR,167500,N,Manual,Manual,167500,1,85.56,92.52
147,203804T05,ULTRASOUND PROBE-PHILIPS C5-2,Purchase Price List,1,INR,205000,INR,205000,N,Manual,Manual,205000,1,85.56,92.52
